id,op,subop,fecha,hora_inicio,hora_fin,id_rrhh,nº_tocholargo,long_inicial,long_tocho_cortado,cant_tochos cortados ,peso_promedio,long_final,Peso del resto del tocho
234,50,5,20191001,130500,132700,000011,325,580,56.2,10,18.323,16.5,5.342
235,50,5,20191001,133600,134100,000011,326,580,56.2,3,18.31,410.6,NULL
236,50,6,20191001,135000,140500,000011,326,410.6,51.3,7,16.681,49.5,16.199
237,50,6,20191001,144300,150600,000011,327,580,51.3,11,16.754,13.2,4.282
238,51,1,20191003,131400,131800,000011,334,177.8,44.5,2,14.51,88.3,NULL
239,51,2,20191003,132500,132800,000011,334,88.3,37.5,2,12.256,13,4.142
240,51,3,20191003,134300,134600,000011,335,580,46.1,2,15.033,487.8,NULL
241,51,4,20191003,135200,135600,000011,335,487.8,46,2,14.962,395,NULL
242,52,1,20191008,104200,105300,000011,335,395,41.5,6,13.516,144.6,NULL
243,53,1,20191010,102200,102700,000011,334,144.6,57.7,2,18.773,9.1,9.483
245,53,1,20191010,110000,112200,000011,336,580,57.7,10,18.8,1,0.337
246,53,1,20191010,113000,115000,000011,337,580,57.7,10,18.795,9,0.403
247,53,1,20191010,130300,131100,000011,338,580,57.7,4,18.798,348.2,NULL
248,54,1,20191014,133900,000013,000011,338,348.3,37.1,4,12.071,199,NULL
249,54,1,20191015,050700,051700,000011,338,199,37.1,5,12.071,4.4,40.781
250,54,1,20191015,052500,055400,000011,339,580,37.1,15,12.084,20,6.492
251,54,1,20191015,060000,062700,000011,340,580,37.1,15,12.1,19.5,6.356
252,54,1,20191015,064000,070900,000011,341,580,37.1,15,12.093,19,6.182
253,54,1,20191015,071400,071600,000011,318,39,37.1,1,12.111,2.3,0.73
254,54,1,20191015,072000,072200,000011,332,37,37.1,1,12.061,2.3,NULL
255,54,2,20191015,074600,075800,000011,342,580,44.4,6,14.405,312.3,NULL
256,54,2,20191015,082200,083800,000011,342,312.3,44.4,7,14.417,1,0.303
