nro_op,nro_subop,cod_matriz,nro_serie_matriz
71,4,DIE-0064,1
72,1,DIE-0086,1
72,2,DIE-0089,1
72,3,DIE-0089,1
73,1,DIE-0010,2
73,2,DIE-0076,1
74,1,DIE-0090,1
75,1,DIE-0004,1
75,2,DIE-0035,1
75,3,DIE-0088,1
75,4,DIE-0070,1
76,1,DIE-0086,1
76,2,DIE-0089,1
76,3,DIE-0002,1
76,4,DIE-0003,1
76,5,DIE-0006,1
76,6,DIE-0008,1
76,7,DIE-0010,1
76,8,DIE-0001,1
76,9,DIE-0072,1
76,10,DIE-0032,1
76,11,DIE-0035,1
76,12,DIE-0064,1
76,14,DIE-0004,1
77,1,DIE-0084,2
78,1,DIE-0087,1
78,2,DIE-0087,1
78,3,DIE-0083,1
78,4,DIE-0082,NULL
78,5,DIE-0085,NULL
78,6,DIE-0074,1
78,7,DIE-0076,1
79,1,DIE-0089,1
79,2,DIE-0034,1
79,3,DIE-0062,1
80,1,DIE-0091,1
80,2,DIE-0092,1
80,3,DIE-0093,1
80,4,DIE-0082,2
80,6,DIE-0084,1
80,7,DIE-0085,1
80,8,DIE-0094,1
80,9,DIE-0095,1
80,10,DIE-0096,1
80,11,DIE-0097,1
80,12,DIE-0098,1
81,1,DIE-0083,1
81,2,DIE-0086,1
81,3,DIE-0086,1
81,4,DIE-0087,1
81,5,DIE-0087,1
81,6,DIE-0088,1
81,7,DIE-0088,1
81,9,DIE-0089,1
81,8,DIE-0089,1
82,1,DIE-0105,1
82,2,DIE-0103,1
82,3,DIE-0106,1
82,4,DIE-0030,1
83,1,DIE-0021,1
84,1,DIE-0111,1
84,2,DIE-0084,1
84,3,DIE-0055,1
84,4,DIE-0025,1
85,1,DIE-0102,1
86,1,DIE-0050,1
87,1,DIE-0091,1
88,1,DIE-0089,1
88,2,DIE-0037,1
88,3,DIE-0043,1
88,4,DIE-0044,1
88,5,DIE-0035,1
88,6,DIE-0002,1
89,1,DIE-0060,1
89,2,DIE-0064,1
89,3,DIE-0068,1
89,4,DIE-0042,1
89,5,DIE-0070,1
89,6,DIE-0031,1
89,7,DIE-0110,1
90,1,DIE-0084,1
90,2,DIE-0067,1
90,3,DIE-0068,1
91,1,DIE-0094,1
91,2,DIE-0032,1
91,3,DIE-0100,1
92,1,DIE-0021,1
92,2,DIE-0037,1
92,3,DIE-0099,1
92,4,DIE-0063,1
92,5,DIE-0006,1
92,6,DIE-0010,1
92,7,DIE-0007,1
93,1,DIE-0083,1
93,2,DIE-0002,1
94,1,DIE-0044,1
94,2,DIE-0045,2
94,3,DIE-0039,3
94,4,DIE-0110,4
94,5,DIE-0111,5
95,1,DIE-0102,1
95,2,DIE-0089,1
95,3,DIE-0126,1
96,1,DIE-0090,1
96,2,DIE-0010,1
96,3,DIE-0006,1
96,4,DIE-0003,1
96,5,DIE-0077,2
96,6,DIE-0018,1
96,10,DIE-0022,1
96,7,DIE-0013,1
96,8,DIE-0052,1
96,9,DIE-0014,1
