op,subop,cod_perfil,long_perfil__m,cant_perfil_min,estado
76,6,PROFILE-0081,6,537,0
76,7,PROFILE-0083,6,738,0
76,8,PROFILE-0074,6,479,0
76,9,PROFILE-0175,6,528,0
76,10,PROFILE-0117,6,897,0
76,11,PROFILE-0120,6,117,0
76,12,PROFILE-0162,6,220,0
76,14,PROFILE-0077,6,405,0
77,1,PROFILE-0186,6,40,0
78,1,PROFILE-0105,6,269,0
78,2,PROFILE-0105,4.65,187,0
78,3,PROFILE-0184,6,140,0
78,4,PROFILE-0128,6,4,0
78,5,PROFILE-0188,6,30,0
78,6,PROFILE-0177,6,455,0
78,7,PROFILE-0180,6,94,0
79,1,PROFILE-0149,6.2,50,0
79,2,PROFILE-0119,6,20,0
79,3,PROFILE-0160,6,20,0
80,1,PROFILE-0107,6,41,0
80,2,PROFILE-0150,6,40,0
80,3,PROFILE-0152,6,46,0
80,4,PROFILE-0128,6,20,0
80,6,PROFILE-0186,6,40,0
80,7,PROFILE-0188,6,25,0
80,8,PROFILE-0155,6,40,0
80,9,PROFILE-0108,6,40,0
80,10,PROFILE-0110,6,40,0
80,11,PROFILE-0112,6,45,0
80,12,PROFILE-0113,6,40,0
81,1,PROFILE-0184,6,155,0
81,2,PROFILE-0148,4,50,0
81,3,PROFILE-0148,6,30,0
81,4,PROFILE-0105,4,50,0
81,5,PROFILE-0105,6,30,0
81,6,PROFILE-0106,4,50,0
81,7,PROFILE-0106,6,30,0
81,9,PROFILE-0149,4.65,187,0
81,8,PROFILE-0149,6.2,34,0
82,1,PROFILE-0109,6,35,0
82,2,PROFILE-0153,6,27,0
82,3,PROFILE-0111,6,101,0
82,4,PROFILE-0104,6,72,0
83,1,PROFILE-0096,6,368,0
84,1,PROFILE-0130,6,192,0
84,2,PROFILE-0186,4,28,0
84,3,PROFILE-0138,5,25,0
84,4,PROFILE-0139,5,21,0
85,1,PROFILE-0151,6,39,0
86,1,PROFILE-0132,6,25,0
87,1,PROFILE-0107,6,107,0
88,1,PROFILE-0149,4.65,150,0
88,2,PROFILE-0165,3.5,50,0
88,3,PROFILE-0171,3.5,50,0
88,4,PROFILE-0172,6,50,0
88,5,PROFILE-0120,6,50,0
88,6,PROFILE-0075,6,500,0
89,1,PROFILE-0157,6,20,0
89,2,PROFILE-0162,6,50,0
89,3,PROFILE-0167,6,20,0
89,4,PROFILE-0125,6,50,0
89,5,PROFILE-0169,6,20,0
89,6,PROFILE-0116,6,50,0
89,7,PROFILE-0158,6,20,0
90,1,PROFILE-0186,4,77,0
90,2,PROFILE-0166,6,9,0
90,3,PROFILE-0167,6,9,0
91,1,PROFILE-0155,5,20,0
91,2,PROFILE-0117,6,815,0
91,3,PROFILE-0115,6,16,0
92,1,PROFILE-0096,6,14,0
92,2,PROFILE-0165,3.5,16,0
92,3,PROFILE-0156,6,8,0
92,4,PROFILE-0161,6,20,0
92,5,PROFILE-0079,6,91,0
92,6,PROFILE-0083,6,493,0
92,7,PROFILE-0080,6,500,0
93,1,PROFILE-0184,6,200,0
93,2,PROFILE-0075,6,653,0
94,1,PROFILE-0172,6,16,0
94,2,PROFILE-0173,6,30,0
94,3,PROFILE-0122,6,10,0
94,4,PROFILE-0158,6,30,0
94,5,PROFILE-0130,6,100,0
95,1,PROFILE-0151,6,85,0
95,3,PROFILE-0149,4.65,107,0
95,2,PROFILE-0116,6,25,0
96,1,PROFILE-0082,6,1000,0
96,2,PROFILE-0083,6,800,0
96,3,PROFILE-0079,6,400,0
96,4,PROFILE-0076,6,1100,0
96,5,PROFILE-0181,6,500,0
96,6,PROFILE-0091,6,100,0
96,10,PROFILE-0098,6,150,0
96,7,PROFILE-0086,6,30,0
96,8,PROFILE-0134,6,100,0
