ID_MOVIMIENTO,FECHA ,HORA ,ID_RESPONSABLE,TIPO_CONTENEDOR_ORIGEN,ID_CONTENEDOR_ORIGEN,TIPO_CONTENEDOR_DESTINO,ID_CONTENEDOR_DESTINO,CODIGO ,LONGITUD,ENVEJECIDO,ACABADO,COLOR,DEFECTUOSO,CANTIDAD,nro_ext,nro_envejecimiento,nro_pint,id_imp_etiq,com,es_fix,ok
359,20200504,NULL,8,NULL,NULL,0,0,PROFILE-0151,6,1,0,0,0,127,NULL,NULL,NULL,NULL,NULL,0,NULL
360,20200601,NULL,12,0,0,NULL,NULL,PROFILE-0151,6,1,0,0,0,50,NULL,NULL,NULL,NULL,NULL,0,NULL
361,20200604,NULL,12,0,0,NULL,NULL,PROFILE-0151,6,1,0,0,0,2,NULL,NULL,NULL,NULL,NULL,0,NULL
362,20200605,NULL,12,0,0,NULL,NULL,PROFILE-0151,6,1,0,0,0,39,NULL,NULL,NULL,NULL,NULL,0,NULL
363,20200602,NULL,8,NULL,NULL,1,18,PROFILE-0083,6,1,0,0,0,99,NULL,NULL,NULL,NULL,NULL,0,NULL
364,20200610,NULL,3,1,18,NULL,NULL,PROFILE-0083,6,1,0,0,0,42,NULL,NULL,NULL,NULL,NULL,0,NULL
365,20200610,NULL,3,1,18,NULL,NULL,PROFILE-0083,6,1,0,0,0,36,NULL,NULL,NULL,NULL,NULL,0,NULL
366,20200615,NULL,9,1,18,2,27,PROFILE-0083,6,1,0,0,0,21,NULL,NULL,NULL,NULL,NULL,0,NULL
367,20200602,NULL,8,NULL,NULL,1,26,PROFILE-0149,4.65,1,0,0,0,35,NULL,NULL,NULL,NULL,NULL,0,NULL
368,20200608,NULL,12,1,26,NULL,NULL,PROFILE-0149,4.65,1,0,0,0,35,NULL,NULL,NULL,NULL,NULL,0,NULL
369,20200602,NULL,8,NULL,NULL,1,4,PROFILE-0082,6,1,0,0,0,187,NULL,NULL,NULL,NULL,NULL,0,NULL
370,20200604,NULL,12,1,4,NULL,NULL,PROFILE-0082,6,1,0,0,0,60,NULL,NULL,NULL,NULL,NULL,0,NULL
371,20200608,NULL,12,1,4,NULL,NULL,PROFILE-0082,6,1,0,0,0,60,NULL,NULL,NULL,NULL,NULL,0,NULL
372,20200610,NULL,12,1,4,NULL,NULL,PROFILE-0082,6,1,0,0,0,11,NULL,NULL,NULL,NULL,NULL,0,NULL
373,20200610,NULL,12,1,4,1,15,PROFILE-0082,6,1,0,0,0,56,NULL,NULL,NULL,NULL,NULL,0,NULL
374,20200602,NULL,8,NULL,NULL,1,24,PROFILE-0083,6,1,0,0,0,100,NULL,NULL,NULL,NULL,NULL,0,NULL
375,20200602,NULL,12,1,24,NULL,NULL,PROFILE-0083,6,1,0,0,0,52,NULL,NULL,NULL,NULL,NULL,0,NULL
376,20200610,NULL,12,1,24,NULL,NULL,PROFILE-0083,6,1,0,0,0,48,NULL,NULL,NULL,NULL,NULL,1,NULL
377,20200603,NULL,8,NULL,NULL,1,2,PROFILE-0079,6,1,0,0,0,252,NULL,NULL,NULL,NULL,NULL,0,NULL
378,20200603,NULL,8,NULL,NULL,1,19,PROFILE-0079,6,1,0,0,0,129,NULL,NULL,NULL,NULL,NULL,0,NULL
379,20200603,NULL,8,NULL,NULL,1,19,PROFILE-0181,6,1,0,0,0,53,NULL,NULL,NULL,NULL,NULL,0,NULL
380,20200603,NULL,8,NULL,NULL,1,15,PROFILE-0083,6,1,0,0,0,19,NULL,NULL,NULL,NULL,NULL,0,NULL
381,20200603,NULL,8,NULL,NULL,1,15,PROFILE-0082,6,1,0,0,0,131,NULL,NULL,NULL,NULL,NULL,0,NULL
382,20200603,NULL,8,NULL,NULL,1,15,PROFILE-0075,6,1,0,0,0,22,NULL,NULL,NULL,NULL,NULL,0,NULL
383,20200603,NULL,8,NULL,NULL,1,3,PROFILE-0181,6,1,0,0,0,126,NULL,NULL,NULL,NULL,NULL,0,NULL
384,20200603,NULL,12,1,3,NULL,NULL,PROFILE-0181,6,1,0,0,0,63,NULL,NULL,NULL,NULL,NULL,0,NULL
385,20200611,NULL,12,1,3,2,5,PROFILE-0181,6,1,0,0,0,63,NULL,NULL,NULL,NULL,NULL,0,NULL
386,20200604,NULL,8,NULL,NULL,1,5,PROFILE-0076,6,1,0,0,0,121,NULL,NULL,NULL,NULL,NULL,0,NULL
387,20200604,NULL,12,1,5,NULL,NULL,PROFILE-0076,6,1,0,0,0,60,NULL,NULL,NULL,NULL,NULL,0,NULL
388,20200604,NULL,12,1,5,1,3,PROFILE-0076,6,1,0,0,0,61,NULL,NULL,NULL,NULL,NULL,0,NULL
389,20200604,NULL,8,NULL,NULL,1,13,PROFILE-0181,6,1,0,0,0,19,NULL,NULL,NULL,NULL,NULL,0,NULL
390,20200604,NULL,8,NULL,NULL,1,13,PROFILE-0091,6,1,0,0,0,47,NULL,NULL,NULL,NULL,NULL,0,NULL
391,20200604,NULL,8,NULL,NULL,1,13,PROFILE-0091,5,1,0,0,0,7,NULL,NULL,NULL,NULL,NULL,0,NULL
392,20200604,NULL,8,NULL,NULL,1,18,PROFILE-0076,6,1,0,0,0,121,NULL,NULL,NULL,NULL,NULL,0,NULL
393,20200604,NULL,8,NULL,NULL,1,26,PROFILE-0091,6,1,0,0,0,58,NULL,NULL,NULL,NULL,NULL,0,NULL
394,20200605,NULL,12,1,26,NULL,NULL,PROFILE-0091,6,1,0,0,0,25,NULL,NULL,NULL,NULL,NULL,0,NULL
395,20200604,NULL,8,NULL,NULL,1,26,PROFILE-0091,6,1,0,0,0,9,NULL,NULL,NULL,NULL,NULL,0,NULL
