nro_canasto,cod_perfil,long__m,cantidad,op_extrusion,subop_extrusion,,
49,PROFILE-0157,5,1,NULL,NULL,,
49,PROFILE-0117,6,165,NULL,NULL,,
49,PROFILE-0117,5,27,NULL,NULL,,
49,PROFILE-0117,3,6,NULL,NULL,,
49,PROFILE-0162,6,12,NULL,NULL,,
50,PROFILE-0117,6,30,NULL,NULL,,
50,PROFILE-0117,5,7,NULL,NULL,,
50,PROFILE-0117,4,2,NULL,NULL,,
50,PROFILE-0117,6,63,NULL,NULL,,
50,PROFILE-0117,5,6,NULL,NULL,,
51,PROFILE-0120,6,42,NULL,NULL,,
51,PROFILE-0120,5,19,NULL,NULL,,
51,PROFILE-0120,4,1,NULL,NULL,,
51,PROFILE-0120,3,1,NULL,NULL,,
52,PROFILE-0161,6,76,NULL,NULL,,
52,PROFILE-0161,4,2,NULL,NULL,,
52,PROFILE-0124,6,18,NULL,NULL,,
53,PROFILE-0124,6,66,NULL,NULL,,
54,PROFILE-0162,6,83,NULL,NULL,,
54,PROFILE-0124,6,8,NULL,NULL,,
54,PROFILE-0124,5,5,NULL,NULL,,
54,PROFILE-0124,4,2,NULL,NULL,,
54,PROFILE-0124,3,1,NULL,NULL,,
55,PROFILE-0169,6,39,NULL,NULL,,
55,PROFILE-0169,4.5,12,NULL,NULL,,
56,PROFILE-0157,6,53,NULL,NULL,,
56,PROFILE-0157,5,7,NULL,NULL,,
56,PROFILE-0157,4,1,NULL,NULL,,
56,PROFILE-0162,5,2,NULL,NULL,,
56,PROFILE-0162,4,13,NULL,NULL,,
56,PROFILE-0162,3,3,NULL,NULL,,
57,PROFILE-0127,6,44,NULL,NULL,,
57,PROFILE-0127,5,4,NULL,NULL,,
58,PROFILE-0116,6,9,NULL,NULL,,
58,PROFILE-0116,5,1,NULL,NULL,,
58,PROFILE-0185,6,28,NULL,NULL,,
58,PROFILE-0185,5.5,2,NULL,NULL,,
58,PROFILE-0185,5,3,NULL,NULL,,
58,PROFILE-0127,5,2,NULL,NULL,,
59,PROFILE-0170,4.5,32,NULL,NULL,,
59,PROFILE-0185,4,11,NULL,NULL,,
60,PROFILE-0116,6,10,NULL,NULL,,
60,PROFILE-0162,6,26,NULL,NULL,,
60,PROFILE-0169,6,31,NULL,NULL,,
60,PROFILE-0170,3,10,NULL,NULL,,
60,PROFILE-0170,2,9,NULL,NULL,,
61,PROFILE-0116,4,4,NULL,NULL,,
61,PROFILE-0162,5,4,NULL,NULL,,
61,PROFILE-0162,4,1,NULL,NULL,,
61,PROFILE-0123,6,393,62,3,,
61,PROFILE-0123,5,18,NULL,NULL,,
61,PROFILE-0123,4,6,NULL,NULL,,
61,PROFILE-0185,4,4,NULL,NULL,,
61,PROFILE-0185,3,1,NULL,NULL,,
62,PROFILE-0120,6,50,NULL,NULL,,
62,PROFILE-0120,4,11,NULL,NULL,,
62,PROFILE-0120,4,1,NULL,NULL,,
63,PROFILE-0125,6,75,NULL,NULL,,
63,PROFILE-0125,5,2,NULL,NULL,,
63,PROFILE-0125,4,1,NULL,NULL,,
64,PROFILE-0091,6,34,NULL,NULL,,
64,PROFILE-0091,5,2,NULL,NULL,,
64,PROFILE-0170,4.5,8,NULL,NULL,,
64,PROFILE-0170,4,2,NULL,NULL,,
64,PROFILE-0170,3,1,NULL,NULL,,
65,PROFILE-0103,6,2,49,8,,
65,PROFILE-0103,0.96,1,49,8,,
65,PROFILE-0103,1.92,1,49,8,,
65,PROFILE-0116,6,20,NULL,NULL,,
65,PROFILE-0116,5,6,NULL,NULL,,
65,PROFILE-0116,4,1,NULL,NULL,,
65,PROFILE-0116,3,4,NULL,NULL,,
65,PROFILE-0118,6,16,NULL,NULL,,
65,PROFILE-0159,6,6,NULL,NULL,,
65,PROFILE-0159,5,1,NULL,NULL,,
65,PROFILE-0064,6,10,NULL,NULL,,
65,PROFILE-0164,6,10,NULL,NULL,,
65,PROFILE-0164,5,1,NULL,NULL,,
65,PROFILE-0121,6,17,NULL,NULL,,
65,PROFILE-0121,3,1,NULL,NULL,,
65,PROFILE-0179,6,32,NULL,NULL,,
65,PROFILE-0179,4,4,NULL,NULL,,
65,PROFILE-0180,6,13,NULL,NULL,,
65,PROFILE-0180,5,1,NULL,NULL,,
66,PROFILE-0157,6,79,NULL,NULL,,
66,PROFILE-0157,5,1,NULL,NULL,,
67,PROFILE-0117,6,342,NULL,NULL,,
67,PROFILE-0117,5,29,NULL,NULL,,
68,PROFILE-0075,6,8,NULL,NULL,,
68,PROFILE-0075,5,2,NULL,NULL,,
68,PROFILE-0075,4,1,NULL,NULL,,
68,PROFILE-0189,6,75,NULL,NULL,,
68,PROFILE-0189,5,10,NULL,NULL,,
68,PROFILE-0189,4,9,NULL,NULL,,
68,PROFILE-0189,3,6,NULL,NULL,,
68,PROFILE-0089,6,21,NULL,NULL,,
68,PROFILE-0089,5,3,NULL,NULL,,
68,PROFILE-0116,6,5,NULL,NULL,,
68,PROFILE-0116,5,1,NULL,NULL,,
68,PROFILE-0116,4,1,NULL,NULL,,
68,PROFILE-0117,6,144,NULL,NULL,,
68,PROFILE-0117,5,75,NULL,NULL,,
68,PROFILE-0117,4,2,NULL,NULL,,
68,PROFILE-0117,3,6,NULL,NULL,,
68,PROFILE-0166,6,4,NULL,NULL,,
68,PROFILE-0166,5,1,NULL,NULL,,
68,PROFILE-0166,4,1,NULL,NULL,,
68,PROFILE-0167,6,3,NULL,NULL,,
68,PROFILE-0167,5,1,NULL,NULL,,
68,PROFILE-0167,4,1,NULL,NULL,,
68,PROFILE-0167,3,1,NULL,NULL,,
69,PROFILE-0083,6,66,NULL,NULL,,
69,PROFILE-0083,5,17,NULL,NULL,,
69,PROFILE-0083,4,1,NULL,NULL,,
69,PROFILE-0083,3,1,NULL,NULL,,
69,PROFILE-0132,6,13,NULL,NULL,,
69,PROFILE-0132,5,5,NULL,NULL,,
69,PROFILE-0132,3,3,NULL,NULL,,
70,PROFILE-0103,6,22,49,8,,
70,PROFILE-0103,1.7,4,49,8,,
70,PROFILE-0103,5,1,49,8,,
70,PROFILE-0103,1.6,16,49,8,,
70,PROFILE-0103,1.5,2,49,8,,
70,PROFILE-0103,5.5,1,49,8,,
70,PROFILE-0103,0.152,1,49,8,,
70,PROFILE-0103,0.245,1,49,8,,
70,PROFILE-0103,0.233,1,49,8,,
70,PROFILE-0103,1.78,1,49,8,,
70,PROFILE-0182,6,6,NULL,NULL,,
70,PROFILE-0182,5,1,NULL,NULL,,
71,PROFILE-0074,6,66,NULL,NULL,,
71,PROFILE-0074,5,5,NULL,NULL,,
71,PROFILE-0079,6,122,NULL,NULL,,
71,PROFILE-0177,6,6,NULL,NULL,,
71,PROFILE-0177,5,2,NULL,NULL,,
71,PROFILE-0177,4,4,NULL,NULL,,
71,PROFILE-0179,6,26,NULL,NULL,,
71,PROFILE-0179,5,3,NULL,NULL,,
71,PROFILE-0179,4,4,NULL,NULL,,
71,PROFILE-0179,3,4,NULL,NULL,,
71,PROFILE-0185,6,2,NULL,NULL,,
71,PROFILE-0185,5,1,NULL,NULL,,
72,PROFILE-0075,6,42,NULL,NULL,,
72,PROFILE-0079,6,40,NULL,NULL,,
72,PROFILE-0079,5,2,NULL,NULL,,
72,PROFILE-0116,6,1,NULL,NULL,,
72,PROFILE-0116,5,2,NULL,NULL,,
72,PROFILE-0117,6,73,NULL,NULL,,
72,PROFILE-0117,5,23,NULL,NULL,,
72,PROFILE-0117,4,5,NULL,NULL,,
72,PROFILE-0121,6,22,NULL,NULL,,
72,PROFILE-0121,5,2,NULL,NULL,,
72,PROFILE-0168,6,5,NULL,NULL,,
72,PROFILE-0168,5,1,NULL,NULL,,
72,PROFILE-0168,4,1,NULL,NULL,,
72,PROFILE-0180,6,6,NULL,NULL,,
72,PROFILE-0180,5,1,NULL,NULL,,
72,PROFILE-0180,3,1,NULL,NULL,,
72,PROFILE-0182,6,3,NULL,NULL,,
73,PROFILE-0169,6,49,NULL,NULL,,
74,PROFILE-0075,6,11,NULL,NULL,,
74,PROFILE-0075,5,7,NULL,NULL,,
74,PROFILE-0116,5,10,NULL,NULL,,
74,PROFILE-0116,5,1,NULL,NULL,,
74,PROFILE-0169,6,16,NULL,NULL,,
74,PROFILE-0169,5,7,NULL,NULL,,
74,PROFILE-0182,6,3,NULL,NULL,,
74,PROFILE-0182,5,1,NULL,NULL,,
74,PROFILE-0127,6,6,NULL,NULL,,
74,PROFILE-0127,5,2,NULL,NULL,,
75,PROFILE-0161,6,62,NULL,NULL,,
75,PROFILE-0161,5,1,NULL,NULL,,
75,PROFILE-0169,6,24,NULL,NULL,,
75,PROFILE-0169,5,3,NULL,NULL,,
76,PROFILE-0157,6,6,NULL,NULL,,
