nro_canasto,cod_perfil,long__m,cantidad,op_extrusion,subop_extrusion,,
95,PROFILE-0082,5,4,NULL,NULL,,
95,PROFILE-0082,4,8,NULL,NULL,,
95,PROFILE-0082,3,8,NULL,NULL,,
95,PROFILE-0176,6,1,NULL,NULL,,
95,PROFILE-0176,5,1,NULL,NULL,,
95,PROFILE-0176,4,1,NULL,NULL,,
96,PROFILE-0117,6,500,NULL,NULL,,
96,PROFILE-0117,5,26,NULL,NULL,,
96,PROFILE-0117,4,24,NULL,NULL,,
97,PROFILE-0117,6,403,NULL,NULL,,
97,PROFILE-0117,5,168,NULL,NULL,,
98,PROFILE-0176,6,56,NULL,NULL,,
99,PROFILE-0075,6,122,NULL,NULL,,
99,PROFILE-0075,5,2,NULL,NULL,,
99,PROFILE-0075,3,1,NULL,NULL,,
99,PROFILE-0082,6,12,NULL,NULL,,
99,PROFILE-0082,5,3,NULL,NULL,,
100,PROFILE-0082,6,101,NULL,NULL,,
100,PROFILE-0082,5,13,NULL,NULL,,
100,PROFILE-0082,6,74,NULL,NULL,,
100,PROFILE-0082,4,8,NULL,NULL,,
100,PROFILE-0082,3,8,NULL,NULL,,
101,PROFILE-0189,6,908,NULL,NULL,,
101,PROFILE-0189,5,36,NULL,NULL,,
101,PROFILE-0189,4,9,NULL,NULL,,
102,PROFILE-0079,6,7,NULL,NULL,,
102,PROFILE-0079,5,1,NULL,NULL,,
102,PROFILE-0079,4,1,NULL,NULL,,
102,PROFILE-0189,6,312,NULL,NULL,,
102,PROFILE-0176,6,30,47,1,,
102,PROFILE-0176,5,1,NULL,NULL,,
102,PROFILE-0176,4,1,NULL,NULL,,
102,PROFILE-0176,3,1,NULL,NULL,,
103,PROFILE-0079,6,203,NULL,NULL,,
103,PROFILE-0079,5,9,NULL,NULL,,
103,PROFILE-0079,4,2,NULL,NULL,,
103,PROFILE-0079,3,2,NULL,NULL,,
104,PROFILE-0079,6,108,NULL,NULL,,
104,PROFILE-0079,5,1,NULL,NULL,,
104,PROFILE-0079,4,1,NULL,NULL,,
104,PROFILE-0133,6,38,NULL,NULL,,
104,PROFILE-0133,5,1,NULL,NULL,,
104,PROFILE-0143,6,38,NULL,NULL,,
104,PROFILE-0143,5,2,NULL,NULL,,
105,PROFILE-0103,6,32,NULL,NULL,,
105,PROFILE-0103,0.846,1,NULL,NULL,,
105,PROFILE-0103,0.953,4,NULL,NULL,,
105,PROFILE-0103,0.98,3,NULL,NULL,,
105,PROFILE-0103,0.97,4,NULL,NULL,,
105,PROFILE-0103,0.912,3,NULL,NULL,,
105,PROFILE-0103,1.105,4,NULL,NULL,,
105,PROFILE-0103,0.931,4,NULL,NULL,,
105,PROFILE-0103,0.7,1,NULL,NULL,,
106,PROFILE-0076,6,77,NULL,NULL,,
106,PROFILE-0076,5,8,NULL,NULL,,
106,PROFILE-0159,6,32,NULL,NULL,,
107,PROFILE-0076,5,12,NULL,NULL,,
107,PROFILE-0076,4,1,NULL,NULL,,
107,PROFILE-0079,6,211,34,4,,
107,PROFILE-0079,5,5,NULL,NULL,,
108,PROFILE-0075,6,79,34,5,,
108,PROFILE-0075,5,4,NULL,NULL,,
108,PROFILE-0075,3,1,NULL,NULL,,
108,PROFILE-0079,6,129,34,4,,
109,PROFILE-0083,6,102,34,8,,
109,PROFILE-0083,5,2,NULL,NULL,,
110,PROFILE-0175,6,48,35,1,,
110,PROFILE-0175,5,1,NULL,NULL,,
110,PROFILE-0175,4,4,NULL,NULL,,
110,PROFILE-0175,3,16,NULL,NULL,,
111,PROFILE-0075,6,59,34,5,,
111,PROFILE-0075,5,1,NULL,NULL,,
111,PROFILE-0075,4,1,NULL,NULL,,
111,PROFILE-0082,6,107,34,7,,
111,PROFILE-0082,5,12,NULL,NULL,,
111,PROFILE-0082,4,1,NULL,NULL,,
111,PROFILE-0082,3,1,NULL,NULL,,
112,PROFILE-0175,6,52,35,1,,
112,PROFILE-0175,3,8,NULL,NULL,,
113,PROFILE-0075,6,26,34,5,,
113,PROFILE-0075,5,1,NULL,NULL,,
113,PROFILE-0168,6,119,35,2,,
113,PROFILE-0168,5,1,NULL,NULL,,
113,PROFILE-0168,5,1,NULL,NULL,,
114,PROFILE-0185,4,33,NULL,NULL,,
114,PROFILE-0185,3,3,NULL,NULL,,
114,PROFILE-0185,2,4,NULL,NULL,,
115,PROFILE-0175,6,27,35,1,,
115,PROFILE-0175,3,5,NULL,NULL,,
115,PROFILE-0175,4,1,NULL,NULL,,
115,PROFILE-0185,4,21,NULL,NULL,,
116,PROFILE-0091,3,24,37,1,,
116,PROFILE-0098,3,32,37,2,,
117,PROFILE-0091,3,63,37,1,,
118,PROFILE-0098,3,355,37,2,,
119,PROFILE-0177,6,1,38,1,,
119,PROFILE-0177,5,1,NULL,NULL,,
119,PROFILE-0177,4,1,NULL,NULL,,
119,PROFILE-0179,5,2,NULL,NULL,,
119,PROFILE-0179,4,3,NULL,NULL,,
119,PROFILE-0179,3,3,NULL,NULL,,
119,PROFILE-0180,6,118,38,3,,
119,PROFILE-0180,5,1,NULL,NULL,,
119,PROFILE-0180,4,1,NULL,NULL,,
119,PROFILE-0180,6,7,38,2,,
120,PROFILE-0075,6,29,34,5,,
120,PROFILE-0177,6,61,38,1,,
120,PROFILE-0177,5,2,NULL,NULL,,
120,PROFILE-0177,3,1,NULL,NULL,,
121,PROFILE-0127,6,88,NULL,NULL,,
122,PROFILE-0187,6,85,NULL,NULL,,
122,PROFILE-0187,5,1,NULL,NULL,,
123,PROFILE-0075,6,187,40,1,,
124,PROFILE-0075,6,33,40,1,,
124,PROFILE-0075,5,14,NULL,NULL,,
124,PROFILE-0075,4,5,NULL,NULL,,
124,PROFILE-0075,3,2,NULL,NULL,,
124,PROFILE-0075,6,73,40,1,,
124,PROFILE-0075,5,5,NULL,NULL,,
124,PROFILE-0075,4,2,NULL,NULL,,
124,PROFILE-0075,3,1,NULL,NULL,,
124,PROFILE-0183,6,22,41,2,,
124,PROFILE-0183,5,1,NULL,NULL,,
125,PROFILE-0165,6,1,39,1,,
125,PROFILE-0165,5,3,NULL,NULL,,
125,PROFILE-0171,6,1,39,2,,
125,PROFILE-0171,5,3,NULL,NULL,,
125,PROFILE-0172,6,3,39,3,,
125,PROFILE-0172,5,2,NULL,NULL,,
125,PROFILE-0172,3,1,NULL,NULL,,
125,PROFILE-0173,6,5,39,5,,
125,PROFILE-0173,4,1,NULL,NULL,,
125,PROFILE-0183,6,3,39,6,,
125,PROFILE-0183,5,1,NULL,NULL,,
125,PROFILE-0183,4,1,NULL,NULL,,
125,PROFILE-0183,3,1,NULL,NULL,,
125,PROFILE-0066,6,2,39,4,,
125,PROFILE-0066,5,2,NULL,NULL,,
126,PROFILE-0082,6,42,41,1,,
126,PROFILE-0082,5,6,NULL,NULL,,
126,PROFILE-0082,6,13,41,1,,
126,PROFILE-0165,6,1,NULL,NULL,,
126,PROFILE-0165,5,2,NULL,NULL,,
126,PROFILE-0179,6,18,38,2,,
126,PROFILE-0185,3,2,NULL,NULL,,
126,PROFILE-0187,4,8,NULL,NULL,,
127,PROFILE-0064,6,60,41,4,,
127,PROFILE-0121,6,148,41,3,,
127,PROFILE-0121,5,2,NULL,NULL,,
128,PROFILE-0185,4,47,36,2,,
129,PROFILE-0064,6,35,41,4,,
129,PROFILE-0064,5,14,NULL,NULL,,
129,PROFILE-0064,4,1,NULL,NULL,,
129,PROFILE-0185,4,2,36,2,,
129,PROFILE-0185,2,2,NULL,NULL,,
129,PROFILE-0185,3,5,NULL,NULL,,
129,PROFILE-0187,4,48,NULL,NULL,,
130,PROFILE-0187,6,48,NULL,NULL,,
131,PROFILE-0127,6,41,NULL,NULL,,
131,PROFILE-0127,5,7,NULL,NULL,,
132,PROFILE-0076,6,20,NULL,NULL,,
132,PROFILE-0076,5,3,NULL,NULL,,
132,PROFILE-0076,3,4,NULL,NULL,,
132,PROFILE-0127,6,36,NULL,NULL,,
133,PROFILE-0183,6,77,NULL,NULL,,
133,PROFILE-0127,6,18,NULL,NULL,,
134,PROFILE-0076,6,69,40,3,,
134,PROFILE-0187,6,29,44,2,,
135,PROFILE-0187,6,88,44,2,,
136,PROFILE-0076,6,61,40,3,,
136,PROFILE-0183,6,53,44,1,,
136,PROFILE-0183,5,4,NULL,NULL,,
136,PROFILE-0183,4,2,NULL,NULL,,
136,PROFILE-0183,3,1,NULL,NULL,,
137,PROFILE-0183,6,124,44,1,,
138,PROFILE-0185,3.8,40,44,3,,
139,PROFILE-0080,6,405,45,2,,
139,PROFILE-0080,5,5,NULL,NULL,,
139,PROFILE-0185,5,23,42,1,,
140,PROFILE-0185,3.8,47,44,3,,
141,PROFILE-0185,3.8,27,44,3,,
141,PROFILE-0185,5,1,NULL,NULL,,
141,PROFILE-0187,6,32,44,2,,
142,PROFILE-0077,6,280,45,4,,
142,PROFILE-0077,5,4,NULL,NULL,,
142,PROFILE-0079,6,126,46,2,,
143,PROFILE-0074,6,242,46,1,,
143,PROFILE-0074,5,14,NULL,NULL,,
143,PROFILE-0074,4,77,NULL,NULL,,
143,PROFILE-0079,6,15,46,2,,
143,PROFILE-0079,5,39,NULL,NULL,,
144,PROFILE-0181,6,129,45,1,,
145,PROFILE-0077,6,444,45,4,,
145,PROFILE-0077,5,4,NULL,NULL,,
145,PROFILE-0077,4,4,NULL,NULL,,
145,PROFILE-0077,3,4,NULL,NULL,,
145,PROFILE-0078,6,260,45,3,,
145,PROFILE-0078,5,44,NULL,NULL,,
145,PROFILE-0078,4,4,NULL,NULL,,
146,PROFILE-0076,6,121,40,2,,
146,PROFILE-0076,5,6,NULL,NULL,,
147,PROFILE-0076,6,102,40,2,,
147,PROFILE-0076,5,19,NULL,NULL,,130
148,PROFILE-0175,6,45,NULL,NULL,,
148,PROFILE-0175,5,2,NULL,NULL,,
148,PROFILE-0175,4,1,NULL,NULL,,
148,PROFILE-0181,6,14,45,1,,
148,PROFILE-0181,4,1,NULL,NULL,,
148,PROFILE-0181,3,1,NULL,NULL,,
149,PROFILE-0091,3,85,48,5,,
149,PROFILE-0127,5,17,NULL,NULL,,
150,PROFILE-0180,6,186,46,3,,
151,PROFILE-0185,6,18,48,1,,
151,PROFILE-0185,5,16,NULL,NULL,,
151,PROFILE-0185,4,1,NULL,NULL,,
152,PROFILE-0075,6,74,NULL,NULL,,
152,PROFILE-0075,5,7,NULL,NULL,,
152,PROFILE-0075,4,3,NULL,NULL,,
152,PROFILE-0075,3,2,NULL,NULL,,
152,PROFILE-0180,6,90,46,3,,
152,PROFILE-0180,5,1,NULL,NULL,,
152,PROFILE-0180,4,1,NULL,NULL,,
153,PROFILE-0074,6,161,NULL,NULL,,
153,PROFILE-0132,6,70,48,4,,
153,PROFILE-0132,5,9,NULL,NULL,,
153,PROFILE-0132,4,12,NULL,NULL,,
154,PROFILE-0083,6,28,NULL,NULL,,
154,PROFILE-0083,4,1,NULL,NULL,,
154,PROFILE-0103,6,7,NULL,NULL,,
154,PROFILE-0103,5,1,NULL,NULL,,
154,PROFILE-0181,4,30,NULL,NULL,,
154,PROFILE-0185,4,6,NULL,NULL,,
155,PROFILE-0078,6,167,49,5,,
155,PROFILE-0078,5,18,NULL,NULL,,
155,PROFILE-0078,4,1,NULL,NULL,,
155,PROFILE-0082,6,33,49,2,,
155,PROFILE-0082,5,4,NULL,NULL,,
155,PROFILE-0082,3,2,NULL,NULL,,
155,PROFILE-0083,6,7,NULL,NULL,,
155,PROFILE-0083,5,1,NULL,NULL,,
155,PROFILE-0177,6,20,54,5,,
156,PROFILE-0103,6,35,NULL,NULL,,
157,PROFILE-0076,4,23,NULL,NULL,,
157,PROFILE-0076,5,1,NULL,NULL,,
157,PROFILE-0185,4,11,NULL,NULL,,
157,PROFILE-0127,5,14,NULL,NULL,,
158,PROFILE-0083,6,100,NULL,NULL,,
159,PROFILE-0083,6,75,NULL,NULL,,
159,PROFILE-0162,6,33,NULL,NULL,,
160,PROFILE-0083,6,95,NULL,NULL,,
161,PROFILE-0083,6,93,NULL,NULL,,
162,PROFILE-0171,6,24,NULL,NULL,,
163,PROFILE-0165,3.5,36,NULL,NULL,,
164,PROFILE-0171,3.5,55,NULL,NULL,,
165,PROFILE-0083,4,1,NULL,NULL,,
165,PROFILE-0165,6,20,NULL,NULL,,
165,PROFILE-0183,6,63,NULL,NULL,,
165,PROFILE-0183,3,1,NULL,NULL,,
166,PROFILE-0183,6,43,NULL,NULL,,
166,PROFILE-0183,5,1,NULL,NULL,,
166,PROFILE-0185,3.8,9,NULL,NULL,,
166,PROFILE-0127,3.8,21,NULL,NULL,,
167,PROFILE-0183,6,121,NULL,NULL,,
168,PROFILE-0172,6,26,NULL,NULL,,
168,PROFILE-0175,6,11,NULL,NULL,,
168,PROFILE-0181,6,24,NULL,NULL,,
168,PROFILE-0181,5,3,NULL,NULL,,
169,PROFILE-0172,6,26,NULL,NULL,,
169,PROFILE-0172,5,1,NULL,NULL,,
169,PROFILE-0179,6,223,NULL,NULL,,
169,PROFILE-0179,5,6,NULL,NULL,,
170,PROFILE-0181,6,126,NULL,NULL,,
171,PROFILE-0082,6,15,NULL,NULL,,
171,PROFILE-0082,5,2,NULL,NULL,,
171,PROFILE-0138,6,24,NULL,NULL,,
171,PROFILE-0162,6,27,NULL,NULL,,
171,PROFILE-0177,6,30,NULL,NULL,,
171,PROFILE-0177,5,4,NULL,NULL,,
171,PROFILE-0177,4,1,NULL,NULL,,
172,PROFILE-0183,6,125,NULL,NULL,,
174,PROFILE-0095,6,26,NULL,NULL,,
174,PROFILE-0138,6,6,NULL,NULL,,
174,PROFILE-0138,4,1,NULL,NULL,,
174,PROFILE-0138,5,2,NULL,NULL,,
174,PROFILE-0139,6,18,NULL,NULL,,
174,PROFILE-0162,6,108,NULL,NULL,,
174,PROFILE-0162,6,22,NULL,NULL,,
174,PROFILE-0172,5,2,NULL,NULL,,
174,PROFILE-0172,4,2,NULL,NULL,,
174,PROFILE-0174,6,21,NULL,NULL,,
174,PROFILE-0127,4,5,NULL,NULL,,
175,PROFILE-0181,6,126,NULL,NULL,,
176,PROFILE-0183,6,121,NULL,NULL,,
177,PROFILE-0080,6,703,NULL,NULL,,
177,PROFILE-0177,6,1,NULL,NULL,,
177,PROFILE-0177,5,4,NULL,NULL,,
178,PROFILE-0175,4,1,NULL,NULL,,
178,PROFILE-0175,6,45,NULL,NULL,,
178,PROFILE-0177,4,2,NULL,NULL,,
178,PROFILE-0183,6,22,NULL,NULL,,
179,PROFILE-0177,6,88,NULL,NULL,,
180,PROFILE-0180,6,102,NULL,NULL,,
180,PROFILE-0183,6,49,NULL,NULL,,
181,PROFILE-0183,6,122,NULL,NULL,,
182,PROFILE-0183,6,121,NULL,NULL,,
183,PROFILE-0183,6,121,NULL,NULL,,
184,PROFILE-0079,6,40,NULL,NULL,,
185,PROFILE-0180,6,164,NULL,NULL,,
185,PROFILE-0180,3,3,NULL,NULL,,
186,PROFILE-0100,6,27,NULL,NULL,,
186,PROFILE-0138,6,23,NULL,NULL,,
186,PROFILE-0139,6,45,NULL,NULL,,
186,PROFILE-0181,6,70,NULL,NULL,,
187,PROFILE-0181,6,123,NULL,NULL,,
187,PROFILE-0181,5,1,NULL,NULL,,
188,PROFILE-0077,6,183,NULL,NULL,,
188,PROFILE-0079,6,192,NULL,NULL,,
189,PROFILE-0079,6,160,NULL,NULL,,
189,PROFILE-0175,6,21,NULL,NULL,,
190,PROFILE-0077,6,743,NULL,NULL,,
191,PROFILE-0132,6,2,NULL,NULL,,
191,PROFILE-0140,6,2,NULL,NULL,,
191,PROFILE-0141,6,3,NULL,NULL,,
191,PROFILE-0143,6,3,NULL,NULL,,
191,PROFILE-0144,6,4,NULL,NULL,,
191,PROFILE-0145,6,8,NULL,NULL,,
191,PROFILE-0145,6,4,NULL,NULL,,
191,PROFILE-0146,6,15,NULL,NULL,,
191,PROFILE-0066,6,38,NULL,NULL,,
192,PROFILE-0180,6,113,NULL,NULL,,
192,PROFILE-0181,6,46,NULL,NULL,,
193,PROFILE-0175,6,53,NULL,NULL,,
193,PROFILE-0175,5,4,NULL,NULL,,
194,PROFILE-0180,6,170,NULL,NULL,,
195,PROFILE-0175,6,63,NULL,NULL,,
196,PROFILE-0080,6,657,NULL,NULL,,
197,PROFILE-0074,6,177,NULL,NULL,,
197,PROFILE-0181,6,69,NULL,NULL,,
198,PROFILE-0074,6,493,NULL,NULL,,
198,PROFILE-0082,6,15,NULL,NULL,,
199,PROFILE-0181,6,126,NULL,NULL,,
200,PROFILE-0080,6,791,60,3,,
200,PROFILE-0080,5,5,NULL,NULL,,
200,PROFILE-0080,3,4,NULL,NULL,,
201,PROFILE-0080,6,107,60,3,,
201,PROFILE-0089,6,66,61,2,,
201,PROFILE-0177,6,46,54,5,,
201,PROFILE-0177,5,1,NULL,NULL,,
201,PROFILE-0177,4,1,NULL,NULL,,
202,PROFILE-0134,6,36,61,4,,
202,PROFILE-0134,5,1,NULL,NULL,,
202,PROFILE-0088,6,79,61,5,,
203,PROFILE-0086,6,74,61,3,,
203,PROFILE-0088,6,100,61,5,,
203,PROFILE-0181,6,20,NULL,NULL,,
204,PROFILE-0159,6,37,62,4,,
204,PROFILE-0168,6,88,62,2,,
205,PROFILE-0168,6,168,62,2,,
206,PROFILE-0082,6,25,49,2,,
206,PROFILE-0121,6,212,62,1,,
207,PROFILE-0121,6,190,62,1,,
207,PROFILE-0168,6,33,62,2,,
208,PROFILE-0174,6,30,64,1,,
208,PROFILE-0184,6,6,NULL,NULL,,
208,PROFILE-0184,5,1,NULL,NULL,,
208,PROFILE-0184,6,3,NULL,NULL,,
208,PROFILE-0184,5,1,NULL,NULL,,
208,PROFILE-0184,4,1,NULL,NULL,,
208,PROFILE-0127,6,1,NULL,NULL,,
208,PROFILE-0190,5,2,NULL,NULL,,
208,PROFILE-0190,4,1,NULL,NULL,,
208,PROFILE-0191,6,1,NULL,NULL,,
208,PROFILE-0191,5,2,NULL,NULL,,
209,PROFILE-0188,6,4,NULL,NULL,,
209,PROFILE-0188,3,1,NULL,NULL,,
210,PROFILE-0177,6,82,NULL,NULL,,
210,PROFILE-0177,5,6,NULL,NULL,,
211,PROFILE-0177,6,75,NULL,NULL,,
211,PROFILE-0177,4,1,NULL,NULL,,
212,PROFILE-0174,6,272,66,1,,
212,PROFILE-0175,6,34,65,1,,
213,PROFILE-0133,5,292,64,2,,
213,PROFILE-0133,4,20,NULL,NULL,,
213,PROFILE-0175,3,3,NULL,NULL,,
213,PROFILE-0177,5,1,NULL,NULL,,
213,PROFILE-0177,4,1,NULL,NULL,,
213,PROFILE-0177,3,1,NULL,NULL,,
214,PROFILE-0082,6,6,NULL,NULL,,
214,PROFILE-0082,6,19,NULL,NULL,,
214,PROFILE-0082,6,89,NULL,NULL,,
214,PROFILE-0082,5,6,NULL,NULL,,
214,PROFILE-0082,4,7,NULL,NULL,,
214,PROFILE-0143,6,6,NULL,NULL,,
214,PROFILE-0145,6,8,NULL,NULL,,
214,PROFILE-0145,5,1,NULL,NULL,,
214,PROFILE-0174,6,72,66,1,,
214,PROFILE-0175,5,2,NULL,NULL,,
214,PROFILE-0181,6,6,NULL,NULL,,
215,PROFILE-0082,6,51,NULL,NULL,,
215,PROFILE-0082,5,5,NULL,NULL,,
215,PROFILE-0177,6,52,54,5,,
216,PROFILE-0126,6,27,67,2,,
216,PROFILE-0179,6,58,67,1,,
217,PROFILE-0076,6,120,68,1,,
218,PROFILE-0076,6,120,68,1,,
219,PROFILE-0076,6,5,NULL,NULL,,
219,PROFILE-0083,6,62,69,1,,
219,PROFILE-0083,5,2,NULL,NULL,,
220,PROFILE-0083,6,100,69,1,,
220,PROFILE-0124,6,72,69,2,,
221,PROFILE-0124,6,9,69,2,,
221,PROFILE-0124,5,49,69,2,,
221,PROFILE-0126,5,8,NULL,NULL,,
221,PROFILE-0126,4,10,NULL,NULL,,
224,PROFILE-0169,6,64,69,4,,
225,PROFILE-0116,6,168,93,3,,
226,PROFILE-0169,6,42,69,4,,
226,PROFILE-0169,4,1,69,4,,
227,PROFILE-0105,6,9,NULL,NULL,,
227,PROFILE-0116,6,60,69,3,,
228,PROFILE-0117,6,572,69,5,,
229,PROFILE-0096,6,118,70,1,,
229,PROFILE-0159,6,87,62,3,,
230,PROFILE-0149,4,1,NULL,NULL,,
230,PROFILE-0175,6,56,54,6,,
231,PROFILE-0096,6,239,70,1,,
231,PROFILE-0117,6,228,NULL,NULL,,
232,PROFILE-0175,6,15,47,1,,
233,PROFILE-0175,6,63,NULL,NULL,,
234,PROFILE-0175,6,63,NULL,NULL,,
236,PROFILE-0082,6,151,NULL,NULL,,
236,PROFILE-0132,6,66,NULL,NULL,,
237,PROFILE-0082,6,132,NULL,NULL,,
237,PROFILE-0132,6,24,NULL,NULL,,
238,PROFILE-0082,6,176,NULL,NULL,,
239,PROFILE-0082,6,187,NULL,NULL,,
240,PROFILE-0149,4.65,6,81,9,,
241,PROFILE-0082,6,20,NULL,NULL,,
241,PROFILE-0148,6,40,NULL,NULL,,
242,PROFILE-0083,6,100,NULL,NULL,,
243,PROFILE-0083,6,30,NULL,NULL,,
243,PROFILE-0162,6,41,NULL,NULL,,
243,PROFILE-0175,5,18,NULL,NULL,,
244,PROFILE-0083,6,55,NULL,NULL,,
244,PROFILE-0179,6,218,NULL,NULL,,
245,PROFILE-0179,6,269,NULL,NULL,,
246,PROFILE-0082,6,61,NULL,NULL,,
246,PROFILE-0126,6,153,NULL,NULL,,
246,PROFILE-0180,6,51,NULL,NULL,,
247,PROFILE-0077,6,386,NULL,NULL,,
247,PROFILE-0086,6,92,NULL,NULL,,
248,PROFILE-0120,6,66,NULL,NULL,,
249,PROFILE-0077,6,150,NULL,NULL,,
249,PROFILE-0120,6,51,NULL,NULL,,
250,PROFILE-0148,6,56,NULL,NULL,,
250,PROFILE-0106,6,266,NULL,NULL,,
251,PROFILE-0169,6,64,NULL,NULL,,
252,PROFILE-0106,6,170,NULL,NULL,,
253,PROFILE-0148,6,19,NULL,NULL,,
254,PROFILE-0088,6,194,NULL,NULL,,
254,PROFILE-0148,6,23,NULL,NULL,,
255,PROFILE-0076,6,80,NULL,NULL,,
257,PROFILE-0076,6,48,NULL,NULL,,
257,PROFILE-0079,6,135,NULL,NULL,,
258,PROFILE-0079,6,127,NULL,NULL,,
258,PROFILE-0148,6,27,NULL,NULL,,
259,PROFILE-0079,6,62,NULL,NULL,,
259,PROFILE-0148,6,45,NULL,NULL,,
260,PROFILE-0074,6,252,NULL,NULL,,
260,PROFILE-0079,6,144,NULL,NULL,,
261,PROFILE-0180,6,119,NULL,NULL,,
261,PROFILE-0180,4,30,NULL,NULL,,
262,PROFILE-0082,5,4,NULL,NULL,,
262,PROFILE-0147,6,24,NULL,NULL,,
262,PROFILE-0148,6,3,NULL,NULL,,
262,PROFILE-0148,4,1,NULL,NULL,,
262,PROFILE-0107,6,8,NULL,NULL,,
262,PROFILE-0150,6,3,NULL,NULL,,
262,PROFILE-0152,6,8,NULL,NULL,,
262,PROFILE-0155,6,1,NULL,NULL,,
262,PROFILE-0108,6,6,NULL,NULL,,
262,PROFILE-0110,6,36,NULL,NULL,,
262,PROFILE-0112,6,18,NULL,NULL,,
262,PROFILE-0113,6,3,NULL,NULL,,
262,PROFILE-0156,6,2,NULL,NULL,,
262,PROFILE-0115,6,8,NULL,NULL,,
262,PROFILE-0185,6,3,NULL,NULL,,
262,PROFILE-0127,6,2,NULL,NULL,,
262,PROFILE-0127,5,2,NULL,NULL,,
262,PROFILE-0127,4,1,NULL,NULL,,
262,PROFILE-0187,6,9,NULL,NULL,,
262,PROFILE-0187,4,1,NULL,NULL,,
263,PROFILE-0076,5,25,68,1,,
263,PROFILE-0082,5,30,NULL,NULL,,
263,PROFILE-0149,6,1,72,3,,
263,PROFILE-0112,5,8,NULL,NULL,,
263,PROFILE-0159,5,1,NULL,NULL,,
263,PROFILE-0175,5,19,61,1,,
263,PROFILE-0128,5,1,NULL,NULL,,
263,PROFILE-0128,5,2,NULL,NULL,,
264,PROFILE-0083,6,100,76,7,,
265,PROFILE-0186,6,40,77,1,,
266,PROFILE-0083,6,86,76,7,,
266,PROFILE-0186,5,1,77,1,,
267,PROFILE-0186,6,3,77,1,,
268,PROFILE-0117,6,6,76,10,,
268,PROFILE-0162,6,48,76,2,,
268,PROFILE-0175,6,6,76,9,,
268,PROFILE-0184,6,60,78,3,,
269,PROFILE-0117,6,26,76,10,,
269,PROFILE-0162,6,70,76,2,,
270,PROFILE-0128,6,35,78,4,,
270,PROFILE-0188,6,32,78,5,,
271,PROFILE-0184,6,128,78,3,,
272,PROFILE-0077,6,293,76,4,,
272,PROFILE-0105,6,65,76,4,,
272,PROFILE-0188,6,31,78,5,,
273,PROFILE-0105,6,48,78,1,,
273,PROFILE-0105,4.65,156,78,2,,
274,PROFILE-0077,6,155,76,4,,
274,PROFILE-0105,6,166,78,1,,
275,PROFILE-0177,6,84,78,6,,
276,PROFILE-0118,6,52,79,2,,
276,PROFILE-0163,6,72,79,1,,
277,PROFILE-0163,6,27,79,1,,
277,PROFILE-0177,6,6,78,6,,
277,PROFILE-0180,6,103,78,7,,
278,PROFILE-0149,6.2,28,72,3,,
279,PROFILE-0189,6,29,76,6,,
279,PROFILE-0118,6,70,79,2,,
279,PROFILE-0175,6,42,76,9,,
280,PROFILE-0150,6,54,80,2,,
280,PROFILE-0160,6,52,80,3,,
281,PROFILE-0118,5,2,79,2,,
281,PROFILE-0118,4,21,79,2,,
281,PROFILE-0175,6,45,76,9,,
281,PROFILE-0128,5,3,78,4,,
281,PROFILE-0128,4,4,78,4,,
282,PROFILE-0130,6,9,NULL,NULL,,
282,PROFILE-0149,6.2,10,79,1,,
282,PROFILE-0153,6,8,82,2,,
282,PROFILE-0154,6,2,NULL,NULL,,
282,PROFILE-0109,6,4,82,1,,
282,PROFILE-0114,6,8,NULL,NULL,,
282,PROFILE-0072,6,1,NULL,NULL,,
282,PROFILE-0129,6,6,NULL,NULL,,
282,PROFILE-0158,6,1,NULL,NULL,,
282,PROFILE-0119,6,92,79,2,,
283,PROFILE-0082,6,57,74,1,,
283,PROFILE-0110,6,391,80,10,,
284,PROFILE-0107,6,31,80,1,,
284,PROFILE-0151,6,8,81,5,,
284,PROFILE-0152,6,160,80,3,,
285,PROFILE-0148,4,20,81,2,,
285,PROFILE-0155,6,71,80,8,,
286,PROFILE-0148,4,40,81,2,,
287,PROFILE-0148,6,57,81,3,,
288,PROFILE-0109,6,86,82,1,,
288,PROFILE-0128,6,2,84,2,,
289,PROFILE-0105,6,56,78,1,,
289,PROFILE-0105,4,5,78,1,,
289,PROFILE-0153,6,54,82,2,,
290,PROFILE-0082,6,176,74,1,,
291,PROFILE-0105,6,156,81,5,,
291,PROFILE-0105,4,65,81,4,,
292,PROFILE-0186,6,30,80,6,,
292,PROFILE-0186,4,12,80,6,,
293,PROFILE-0104,6,246,80,9,,
293,PROFILE-0105,4,22,81,4,,
293,PROFILE-0111,6,334,82,3,,
294,PROFILE-0104,6,137,82,4,,
294,PROFILE-0108,6,107,80,9,,
295,PROFILE-0105,4.65,34,78,2,,
295,PROFILE-0112,6,297,80,11,,
296,PROFILE-0128,6,17,80,4,,
297,PROFILE-0106,6,220,81,7,,
297,PROFILE-0106,4,16,81,6,,
297,PROFILE-0128,6,3,80,4,,
298,PROFILE-0184,6,132,81,1,,
299,PROFILE-0106,4,98,81,6,,
299,PROFILE-0109,6,24,82,1,,
299,PROFILE-0175,5,13,76,9,,
299,PROFILE-0175,3,20,76,9,,
300,PROFILE-0189,6,127,76,6,,
300,PROFILE-0096,6,177,70,1,,
300,PROFILE-0107,6,70,87,1,,
300,PROFILE-0117,6,27,76,10,,
301,PROFILE-0096,6,109,83,1,,
