OPP,SOPP,P,SP
132,6,130,9
132,7,130,10
132,8,130,11
133,5,123,1
133,1,124,1
133,3,131,1
133,2,124,4
133,4,131,2
134,3,124,2
134,6,128,2
134,4,124,3
134,5,56,6
134,1,56,7
134,2,120,6
134,4,124,3
135,3,108,3
135,2,135,3
135,1,108,4
135,7,128,6
135,6,56,7
135,5,108,7
135,8,128,8
135,9,128,9
135,10,128,10
136,2,115,1
136,3,129,1
136,11,134,1
136,7,132,2
136,9,133,2
136,12,134,2
136,4,129,3
136,6,131,3
136,13,134,3
136,19,137,3
136,5,129,4
136,10,133,4
136,20,137,4
136,21,137,5
136,14,134,7
136,8,132,9
136,15,134,11
136,16,134,12
136,17,134,14
136,18,134,15
136,1,94,17
137,1,137,1
137,4,140,1
137,2,137,2
137,3,138,2
137,5,140,2
137,6,140,3
137,7,140,4
137,8,140,5
137,9,140,6
137,10,140,7
137,11,140,8
137,12,140,9
137,13,140,10
137,14,140,11
137,15,140,12
137,16,140,13
137,17,140,14
138,6,121,1
138,3,132,3
138,2,115,4
138,7,133,4
138,4,134,4
138,5,134,6
138,8,134,6
138,1,94,8
138,9,134,8
139,7,135,1
139,2,120,2
139,3,128,2
139,8,135,2
139,4,128,3
139,5,128,4
139,9,135,4
139,10,135,5
139,6,128,6
139,1,108,9
140,1,96,16
140,2,96,21
140,3,142,1
142,1,133,1
142,2,133,3
143,1,118,1
144,1,115,5
144,2,129,7
144,2,134,9
144,3,133,2
144,4,133,3
145,1,120,6
145,2,128,7
145,3,128,2
145,4,131,2
145,5,135,3
145,6,135,6
145,7,108,6
145,8,128,5
146,1,145,1
147,1,127,4
147,2,127,6
147,3,127,7
147,4,127,8
147,5,127,9
147,6,127,10
147,7,127,11
148,1,108,8
148,2,108,5
148,3,108,2
148,4,108,9
148,5,124,3
148,6,124,4
148,7,128,1
148,8,128,8
148,9,135,6
148,10,138,1
149,1,144,1
149,2,144,2
150,1,115,1
150,2,115,2
150,3,129,8
150,3,134,10
150,4,131,3
150,5,132,1
150,6,132,4
150,7,133,1
150,8,134,1
150,9,134,5
150,10,134,7
150,11,138,2
150,12,94,17
151,1,128,1
151,2,128,5
151,3,128,8
151,4,138,1
151,5,144,2
151,6,147,2
151,7,147,1
152,1,128,9
152,2,128,10
153,1,145,1
154,1,118,1
155,1,108,2
155,2,108,1
155,3,108,8
155,4,124,3
155,5,124,4
155,6,128,2
155,7,147,1
155,8,148,1
156,1,94,16
156,2,115,2
156,3,115,5
156,5,129,2
156,6,129,9
156,7,129,10
157,1,115,1
157,2,134,2
158,1,120,8
158,2,128,2
158,3,148,4
158,4,148,5
158,5,148,6
158,6,148,7
158,7,148,8
158,8,138,1
159,1,149,1
159,2,149,2
159,3,149,3
159,4,149,4
159,5,149,5
159,6,149,8
159,7,149,9
159,8,149,10
159,9,149,11
159,10,96,11
159,11,127,7
159,12,127,10
160,1,59,4
160,2,120,15
160,3,120,12
160,4,120,10
