nro_op,nro_subop,codigo,long__m,cant,id_estado_op
58,9,PROFILE-0038,6,18,0
58,10,PROFILE-0051,6,5,0
59,1,PROFILE-0018,6,10,0
59,2,PROFILE-0019,6,21,0
59,3,PROFILE-0020,6,17,0
59,4,PROFILE-0109,6,14,0
59,5,PROFILE-0021,6,24,0
59,6,PROFILE-0150,6,3,0
59,7,PROFILE-0022,6,13,0
59,8,PROFILE-0154,6,3,0
59,9,PROFILE-0023,6,3,0
59,10,PROFILE-0032,6,6,0
59,11,PROFILE-0033,6,4,0
59,12,PROFILE-0036,6,4,0
60,1,PROFILE-0076,6,71,0
60,2,PROFILE-0075,6,71,0
60,3,PROFILE-0079,6,100,0
60,4,PROFILE-0083,6,50,0
60,5,PROFILE-0080,6,55,0
60,6,PROFILE-0078,6,65,0
60,7,PROFILE-0077,6,75,0
60,8,PROFILE-0074,6,25,0
60,9,PROFILE-0081,6,50,0
60,10,PROFILE-0177,6,50,0
60,11,PROFILE-0175,6,50,0
60,12,PROFILE-0181,6,50,0
61,1,PROFILE-0015,6,80,0
61,2,PROFILE-0071,6,10,0
61,3,PROFILE-0107,6,21,0
61,4,PROFILE-0110,6,23,0
61,5,PROFILE-0111,6,60,0
61,6,PROFILE-0057,6,3,0
61,7,PROFILE-0034,6,4,0
61,8,PROFILE-0151,6,8,0
61,9,PROFILE-0155,6,3,0
62,1,PROFILE-0183,6,134,0
63,1,PROFILE-0104,6,24,0
63,2,PROFILE-0177,6,50,0
64,1,PROFILE-0035,6,8,1
64,2,PROFILE-0061,6,4,1
64,3,PROFILE-0062,6,4,0
65,1,PROFILE-0138,6,23,0
65,2,PROFILE-0139,6,18,0
66,1,PROFILE-0133,6,40,0
67,1,PROFILE-0183,6,464,0
68,1,PROFILE-0040,6,22,0
68,2,PROFILE-0031,6,28,0
68,3,PROFILE-0030,6,82,0
69,1,PROFILE-0076,6,3,0
69,2,PROFILE-0083,6,8,0
69,3,PROFILE-0077,6,64,0
69,4,PROFILE-0180,6,50,0
70,1,PROFILE-0081,6,53,0
70,2,PROFILE-0180,6,52,0
70,3,PROFILE-0175,6,21,0
71,1,PROFILE-0134,6,10,0
71,2,PROFILE-0086,6,10,0
71,3,PROFILE-0087,6,10,0
71,4,PROFILE-0090,6,5,0
71,5,PROFILE-0088,6,5,0
71,6,PROFILE-0089,6,5,0
72,1,PROFILE-0077,6,180,0
72,2,PROFILE-0079,6,203,0
72,4,PROFILE-0181,6,106,0
72,5,PROFILE-0081,6,65,0
72,6,PROFILE-0180,6,50,0
73,1,PROFILE-0148,6,9,0
73,2,PROFILE-0105,6,9,0
73,3,PROFILE-0078,6,22,0
73,4,PROFILE-0080,6,54,0
73,5,PROFILE-0083,6,12,0
73,6,PROFILE-0080,6,46,0
73,7,PROFILE-0180,6,24,0
73,8,PROFILE-0175,6,53,0
73,9,PROFILE-0181,6,50,0
74,1,PROFILE-0082,6,12,0
74,2,PROFILE-0175,6,63,0
74,3,PROFILE-0081,6,65,0
75,1,PROFILE-0165,6,2,0
75,2,PROFILE-0171,6,2,0
75,3,PROFILE-0172,6,3,0
75,4,PROFILE-0116,6,2,0
75,5,PROFILE-0064,6,2,0
75,6,PROFILE-0118,6,2,0
75,8,PROFILE-0119,6,9,0
75,9,PROFILE-0161,6,3,0
75,10,PROFILE-0160,6,3,0
75,11,PROFILE-0162,6,3,0
75,12,PROFILE-0164,6,2,0
75,13,PROFILE-0159,6,3,0
75,14,PROFILE-0049,6,2,0
75,16,PROFILE-0016,6,8,0
75,17,PROFILE-0039,6,1,0
75,18,PROFILE-0104,6,5,0
76,1,PROFILE-0177,6,66,0
76,2,PROFILE-0123,6,22,0
76,3,PROFILE-0159,6,10,0
76,4,PROFILE-0064,6,20,0
76,5,PROFILE-0164,6,13,0
77,1,PROFILE-0177,6,33,0
77,2,PROFILE-0074,6,15,0
77,3,PROFILE-0078,6,58,0
77,4,PROFILE-0080,6,34,0
77,5,PROFILE-0077,6,19,0
77,6,PROFILE-0181,6,16,0
77,7,PROFILE-0181,6,110,0
77,8,PROFILE-0058,6,44,0
77,9,PROFILE-0060,6,4,0
78,1,PROFILE-0071,2,2,0
78,2,PROFILE-0107,2,2,0
78,3,PROFILE-0151,2,2,0
78,4,PROFILE-0152,1.2,1,0
78,5,PROFILE-0153,1.2,1,0
78,6,PROFILE-0108,1.25,1,0
78,7,PROFILE-0110,1.25,4,0
78,8,PROFILE-0111,1.25,4,0
78,9,PROFILE-0114,1.25,1,0
78,10,PROFILE-0072,1.25,1,0
79,1,PROFILE-0116,6,1,0
79,2,PROFILE-0157,6,2,0
79,3,PROFILE-0083,6,8,0
79,4,PROFILE-0077,6,64,0
79,5,PROFILE-0180,6,50,0
79,6,PROFILE-0177,6,11,0
79,8,PROFILE-0077,6,64,0
79,9,PROFILE-0180,6,50,0
80,1,PROFILE-0076,6,66,0
80,2,PROFILE-0075,6,13,0
80,3,PROFILE-0083,6,74,0
80,4,PROFILE-0080,6,24,0
80,5,PROFILE-0078,6,78,0
80,6,PROFILE-0077,6,69,0
80,7,PROFILE-0074,6,144,0
80,8,PROFILE-0081,6,90,0
80,9,PROFILE-0180,6,90,0
80,10,PROFILE-0177,6,114,0
80,11,PROFILE-0175,6,94,0
80,12,PROFILE-0181,6,42,0
81,1,PROFILE-0074,6,26,0
81,2,PROFILE-0121,6,22,0
81,3,PROFILE-0168,6,22,0
81,4,PROFILE-0123,6,6,0
81,5,PROFILE-0159,6,10,0
81,6,PROFILE-0064,6,20,0
