ext_nro,fecha,hora_inicio,hora_fin
426,20200113,093700,101500
426,20200113,103000,111400
427,20200113,114000,121500
427,20200113,130200,133500
428,20200113,135000,142000
428,20200113,143500,151000
429,20200114,112000,114000
429,20200114,115700,121500
429,20200114,122000,132000
429,20200114,144000,145600
430,20200114,151500,160000
431,20200117,130500,131500
432,20200115,154000,160000
433,20200115,164200,165000
433,20200116,063500,070500
433,20200116,072000,073000
434,20200116,115000,120000
434,20200116,130500,132600
434,20200116,135200,141000
435,20200116,144000,145000
435,20200116,150500,151500
435,20200116,154100,155000
436,20200117,085500,093500
436,20200117,100500,104300
438,20200117,133700,135500
438,20200117,143500,145000
439,20200117,153000,155200
439,20200120,070700,075000
440,20200120,145000,151500
441,20200120,154500,161000
442,20200120,164500,170000
442,20200121,064000,065000
442,20200121,070000,071100
443,20200123,144300,151600
443,20200123,155000,161500
444,20200124,144000,152000
445,20200124,133000,134800
445,20200124,141400,143000
446,20200124,162000,163100
447,20200124,164200,170000
448,20200127,143500,150000
449,20200127,151000,155000
449,20200127,154000,155000
449,20200127,064000,064700
450,20200128,113000,114000
451,20200128,143600,144400
452,20200129,095000,101000
452,20200129,102100,104500
452,20200129,105500,110500
453,20200129,112700,114500
453,20200129,130500,133000
453,20200129,145600,150200
454,20200129,150500,153000
454,20200129,155500,160200
455,20200129,165000,170000
455,20200130,065500,070500
456,20200130,112500,120000
456,20200130,130500,131000
456,20200130,132800,134600
457,20200130,135500,144000
457,20200130,150500,151500
458,20200130,151500,154500
458,20200130,160000,161500
459,20200131,065000,073500
460,20200131,110800,111500
461,20200131,114200,120000
462,20200131,143500,150600
463,20200203,162000,164500
463,20200204,071000,072200
464,20200203,153000,155500
465,20200204,094000,094700
466,20200204,101000,102600
466,20200204,105300,112000
466,20200204,113000,113700
467,20200204,153500,160300
467,20200204,162200,163300
467,20200204,073000,073700
468,20200205,133500,134000
468,20200205,155500,161000
469,20200206,082000,085500
470,20200206,095000,100300
471,20200206,095000,100300
472,20200206,101500,102000
473,20200206,095000,100300
474,20200206,095000,100300
475,20200206,095000,100300
476,20200206,100500,101000
477,20200206,140500,141500
478,20200206,095000,100300
479,20200206,150500,155600
480,20200207,082000,090200
481,20200207,NULL,NULL
482,20200207,100500,101000
483,20200207,141000,145500
483,20200207,152000,161000
484,20200110,145100,150600
484,20200212,073700,080000
485,20200212,105500,112000
485,20200212,114200,120000
485,20200212,131000,134500
485,20200212,141000,143000
486,20200212,143500,150500
487,20200212,155500,162500
488,20200213,093000,093500
489,20200213,093700,101000
490,20200213,111000,111800
490,20200213,113000,114000
491,20200213,140000,143500
492,20200213,154500,161000
493,20200214,100000,110000
493,20200214,112000,113000
494,20200214,113200,120000
495,20200214,134500,150000
496,20200217,074000,080000
496,20200217,082000,085000
496,20200217,091500,094500
497,20200217,103500,111200
498,20200217,150300,154000
499,20200218,065000,080000
500,20200218,085000,091000
501,20200220,072200,074300
502,20200220,074500,080000
503,20200220,140000,1420000
503,20200220,145000,1530000
504,20200220,160100,162500
505,20200221,065000,073000
505,20200221,082000,082900
506,20200220,133000,140000
507,20200221,134000,144000
507,20200221,150000,154000
508,20200225,073200,074000
509,20200225,083500,090000
510,20200225,144000,145500
510,20200226,131000,131700
511,20200226,135000,153500
512,20200226,154000,164000
513,20200227,043000,051500
514,20200227,102500,104000
515,20200227,104300,110000
516,20200227,145100,150000
517,20200227,153500,161700
518,20200228,085000,090000
518,20200228,105000,111000
519,20200228,160000,162500
520,20200303,144500,152000
521,20200303,154000,160000
521,20200303,162000,163500
522,20200304,151000,152400
523,20200320,095700,105200
524,20200320,112000,115000
524,20200320,133500,135500
525,20200320,142000,153000
526,20200413,090500,100000
527,20200413,145000,152500
528,20200423,151000,152600
529,20200423,144700,150600
530,20200423,155100,162500
531,20200428,143000,144600
531,20200428,152500,153600
532,20200428,161700,163200
533,20200429,073800,080000
533,20200429,084500,085500
534,20200429,090000,092300
535,20200429,143500,141000
536,20200429,143700,145700
537,20200429,153200,160000
538,20200429,000000,000000
539,20200430,145200,160000
540,20200430,162000,163000
541,20200430,164100,165400
542,20200513,134200,135400
543,20200513,135600,145800
543,20200513,154000,162300
544,20200518,092800,093600
545,20200518,094000,100000
546,20200518,133500,141000
546,20200518,143300,144100
547,20200518,145000,150400
547,20200518,151500,153200
548,20200518,154500,160100
549,20200518,161600,163100
549,20200519,070700,073000
549,20200519,090500,092500
550,20200519,155000,162500
550,20200520,093000,095800
550,20200520,101500,102500
551,20200521,084500,093000
552,20200521,160500,163000
553,20200522,133100,133800
554,20200522,134000,134700
554,20200522,140500,141100
554,20200522,142000,144000
556,20200522,164500,170000
556,20200525,134500,135700
557,20200525,153000,161700
558,20200526,064000,073000
558,20200526,074500,075800
558,20200526,081700,083000
559,20200526,161500,165800
560,20200527,083500,092100
561,20200527,154500,160000
561,20200527,161500,162400
562,20200527,164500,170000
562,20200527,063700,065200
563,20200528,110000,112500
564,20200528,160000,161500
564,20200529,070500,073500
565,20200529,143200,150200
566,20200529,101000,103400
567,20200529,103600,120000
567,20200529,132400,135600
568,20200529,144500,154000
568,20200529,164500,170000
568,20200601,064400,072000
569,20200601,152000,154000
570,20200601,153500,163500
570,20200602,075100,080000
570,20200602,082000,090000
571,20200602,100000,102200
571,20200602,105000,110000
572,20200602,154500,162200
572,20200603,072200,072600
573,20200603,073200,080000
573,20200603,082600,084100
574,20200603,104000,110600
575,20200603,113600,120000
575,20200603,133000,144200
576,20200603,153300,155000
577,20200603,094000,103500
578,20200615,133000,145500
579,20200616,131000,132500
580,20200616,142000,143200
582,20200617,031000,034000
